Title,Genre,Premiere,Runtime,Language
Four to Dinner,Romantic comedy,"January 5, 2022",1 h 30 min,Italian
The Wasteland,Horror,"January 6, 2022",1 h 32 min,Spanish
How I Fell in Love with a Gangster,Drama,"January 12, 2022",2 h 59 min,Polish
Brazen,Romantic thriller,"January 13, 2022",1 h 36 min,English
Photocopier,Coming-of-age drama,"January 13, 2022",2 h 10 min,Indonesian
This Is Not a Comedy,Comedy drama,"January 14, 2022",1 h 45 min,Spanish
The Royal Treatment,Romance,"January 20, 2022",1 h 37 min,English
Amandla,Drama,"January 21, 2022",1 h 46 min,English
Munich – The Edge of War,Historical drama / thriller,"January 21, 2022",2 h 11 min,English
My Father's Violin,Drama,"January 21, 2022",1 h 52 min,Turkish
Home Team,Sports comedy,"January 28, 2022",1 h 37 min,English
Looop Lapeta,Romantic thriller,"February 4, 2022",2 h 11 min,Hindi
Through My Window,Drama,"February 4, 2022",1 h 53 min,Spanish
The Privilege,Horror,"February 9, 2022",1 h 47 min,German
Into the Wind,Romantic drama,"February 10, 2022",1 h 48 min,Polish
Bigbug,Science fiction comedy,"February 11, 2022",1 h 51 min,French
Love and Leashes,Romantic comedy,"February 11, 2022",1 h 58 min,Korean
Love Tactics,Romantic comedy,"February 11, 2022",1 h 38 min,Turkish
Tall Girl 2,Teen romantic comedy,"February 11, 2022",1 h 41 min,English
Fistful of Vengeance,Supernatural martial arts drama,"February 17, 2022",1 h 36 min,English
Texas Chainsaw Massacre,Slasher,"February 18, 2022",1 h 23 min,English
UFO,Drama,"February 23, 2022",1 h 50 min,Turkish
A Madea Homecoming,Comedy,"February 25, 2022",1 h 47 min,English
Restless,Action thriller,"February 25, 2022",1 h 36 min,French
Against the Ice,Survival,"March 2, 2022",1 h 43 min,English
The Weekend Away,Thriller,"March 3, 2022",1 h 31 min,English
The Invisible Thread,Comedy drama,"March 4, 2022",1 h 30 min,Italian
The Adam Project,Science fiction,"March 11, 2022",1 h 46 min,English
Rescued by Ruby,Drama,"March 17, 2022",1 h 33 min,English
Black Crab,Thriller,"March 18, 2022",1 h 54 min,Swedish
Without Saying Goodbye,Romantic comedy,"March 18, 2022",1 h 36 min,Spanish
Windfall,Thriller,"March 18, 2022",1 h 32 min,English
In Good Hands,Romantic comedy,"March 21, 2022",1 h 44 min,Turkish
Love Like the Falling Petals,Drama,"March 24, 2022",2 h 9 min,Japanese
All Hail,Drama,"March 30, 2022",1 h 58 min,Spanish
Apollo 10 1⁄2: A Space Age Childhood,Animation,"April 1, 2022",1 h 38 min,English
Battle: Freestyle,Romantic drama,"April 1, 2022",1 h 28 min,Norwegian
The Bubble,Comedy,"April 1, 2022",2 h 6 min,English
Cobalt Blue,Romantic drama,"April 2, 2022",1 h 52 min,Hindi
