Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Size,Founded,Type_of_ownership,Industry,Sector,Revenue
Data Scientist,-1,"Job Overview
A Data Scientist at ExploreLearning helps millions of children learn math and science by participating in the creation, improvement, and analysis of our award-winning, game-based, adaptive education products. You will take a dynamic role in establishing the pedagogical AI underlying our games, allowing them to produce individualized experiences for learners. Our ideal candidate will have a background in learning analytics and machine learning, and a passion for helping children learn math and science.
Job Responsibilities
o Use, maintain and develop our in-house AI system to sculpt the behavior of games so they properly adapt to individual learners while ensuring that activity-specific pedagogical requirements are achieved
o Evaluate user-generated logs to develop insights into the experiences of users
o Distill and present these findings, along with recommendations for improvement, to designers and other stakeholders",4.2,"Cambium Learning Group
4.3",Remote,1001 to 5000 Employees,2004,Company - Private,Primary & Secondary Schools,Education,$500 million to $1 billion (USD)
2024 University Graduate - Data Scientist,Employer Provided Salary:$83K - $153K,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

The Opportunity
Do you love to solve complex business problems and use data to find the signal in the noise? Join the Product and Customer Analytics team at Adobe! We are a high-impact, high-visibility team well-suited to individuals with a highly quantitative, inquisitive bent of mind. We use data science to quantify and optimize the product experience for our customers! The ideal candidate will be able to work autonomously and will have a technical background with great communication and project management skills.

You will use data to help product, marketing and engineering teams achieve operational and execution efficiencies. Your success is predicated on finding opportunities and providing insights that enable our enterprise business to lower customer churn, increase user engagement, and facilitate product-led growth.
We are looking for a Data Scientist to improve the adoption and utilization of all our Experience Cloud products. The opportunity is huge, ranging from crafting experiments, building machine learning models to developing new product features. We need a creative self-starter who is passionate about data and knowledge of using data science to enhance customer experience.

What You’ll Do
As a data scientist in a multi-functional group of product managers, marketers, and software developers, you will tap into the underlying usage data, and generate insights to develop highly effective programs for Adobe’s Experience Cloud products. You will analyze changes in user engagement which are key drivers of customer growth and retention.
You will also work with data engineers to automate data pipelines to scale user analytics. You will establish relationships with partners across the Experience Cloud business unit to execute team’s projects.
What You Need to Succeed
Strong Proficiency with statistical programming software like Python (pandas, scikit-learn) and/or R (dplyr, ggplot2)
Experience with predictive modeling and machine learning algorithms (supervised and unsupervised)
Strong knowledge of Statistics & Hypothesis Testing
Experience in querying, manipulating, and analyzing large data sets using SQL and/or SQL-like languages.
Experience with version control software GitHub and data visualization tools such as Tableau or PowerBI
Understanding of experimental design & measurement (A/B Testing)
Communicate effectively and manage relationships with partners coming from both technical and non-technical backgrounds
Develop relationships with engineers and stakeholders
Our compensation reflects the cost of labor across several U.S. geographic markets, and we pay differently based on those defined markets. The U.S. pay range for this position is $82,600 -- $153,100 annually. Pay within this range varies by work location and may also depend on job-related knowledge, skills, and experience. Your recruiter can share more about the specific salary range for the job location during the hiring process.

At Adobe, for sales roles starting salaries are expressed as total target compensation (TTC = base + commission), and short-term incentives are in the form of sales commission plans. Non-sales roles starting salaries are expressed as base salary and short-term incentives are in the form of the Annual Incentive Plan (AIP).

In addition, certain roles may be eligible for long-term incentives in the form of a new hire equity award.

Adobe is proud to be an Equal Employment Opportunity and affirmative action employer. We do not discriminate based on gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other applicable characteristics protected by law. Learn more.

Adobe aims to make Adobe.com accessible to any and all users. If you have a disability or special need that requires accommodation to navigate our website or complete the application process, email accommodations@adobe.com or call (408) 536-3015.

Adobe values a free and open marketplace for all employees and has policies in place to ensure that we do not enter into illegal agreements with other companies to not recruit or hire each other’s employees.",4.4,"Adobe
4.4","San Jose, CA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
Data Scientist – Entry Level 2024,Employer Provided Salary:$71K - $133K,"Introduction
Ranked by Forbes as one of the world’s best employers in 2022, IBM promotes growth and innovation to lead as we enter the era of hybrid cloud and AI – helping clients transform their business.

As a Data Scientist, you will be a member of a technical sales agile team to co-develop innovative business solutions with our clients. You will be directly collaborating and impacting the world’s most influential enterprises and brands on the
adoption of next-generation platforms.

IBM’s comprehensive onboarding program and industry-leading learning culture will prepare you with a strong foundation for client success. Our sales environment is collaborative and experiential.

You'll be surrounded by bright minds and keen co-creators ready to assist as you apply practices that will compel our clients to invest in IBM's products and services.


In this role, you’ll be the go-to subject matter expert, collaborating with colleagues from various roles to define solutions and lead the way in how they get built in the age of cloud and AI. This role is hands-on; co-creating using data science, machine learning and programming skills in six-week client engagements.

A 'Day-in-the Life' of a Data Scientist may include, but not be limited to:
To be successful in this role, you will need:
Opportunities are available in: Atlanta GA, Boston MA, Chicago IL, Dallas TX, New York NY, San Francisco CA, and Washington DC – to name a few.",3.9,"IBM
3.9","Atlanta, GA",10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Scientist 2,Employer Provided Salary:$94K - $183K,"The Microsoft 365 team is looking for a Data Scientist 2 to help design and build one of the fastest growing cloud services in Microsoft. Do you want to design and develop new components that solve complex distributed systems and search optimization problems? Do you want to work on a product that ships new features every week? If the answer to these questions is yes, then the Microsoft 365 Storage Fabric team has an opportunity for you get in on designing and building a core part of the stack. We develop software from the ground-up, running across thousands of servers with oceans of data. We build and operate the largest enterprise cloud productivity system in the world. Across products such as Exchange, Teams, and SharePoint, we power communication, sharing, search, intelligent assistance for customers, extensibility through Microsoft Graph, and more. Throughout we maintain very high reliability and availability, privacy and compliance for customers, and latency in milliseconds. We apply a combination of approaches from the fields of API design, Machine Learning, Distributed Computing, Workflow engines, Algorithm Optimization, and many more. Come to define, design, and deliver what enterprise cloud productivity means.





Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",4.3,"Microsoft
4.3","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Entry Level Data Scientist 2023/2024,$48K - $78K (Glassdoor est.),"You may not realize it, but you’ve likely used a product today made possible by the plastics and chemicals manufactured by Chevron Phillips Chemical. From medical supplies and electronics to food packaging and cosmetics, we create the building blocks for more than 70,000 consumer and industrial products.

Even as a global company with 5,000 employees, we maintain a “small company feel” and uphold a culture of respect, diversity, and inclusion. Ask any Chevron Phillips Chemical employee what they like best about their job, and universally, the answer is “the people I work with!” We value work-life balance, and love to see our employees thrive both professionally and personally. There has never been a better time to work for Chevron Phillips Chemical. If you’re ready to grow with us and become part of our vision of being the premier Chemical Company, apply today!",3.9,"CPChem
3.9","The Woodlands, TX",1001 to 5000 Employees,2000,Company - Private,Chemical Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist (C),Employer Provided Salary:$65.00 - $75.00 Per Hour,"The Team:
At Client’s Artificial Intelligence Center of Excellence (AI COE), you won’t be just tinkering around the edges, you’ll be building critical solutions that will benefit our clients for years to come. Collect requirements and deliver high value AI/ML solutions that drive customer, shareholder, and business value. The AI COE houses some of the highest caliber scientists, mathematicians and statisticians who implement the use of rigorous AI & quantitative approaches to ensure that we are efficiently building algorithms and technology relevant to the business or customer experience issue at hand. Those of us who love to work with data see this as the pinnacle of opportunities that you cannot find anywhere else in the industry. We are looking for an experienced Data Science AI Engineer to join our team at client you will play a critical role in developing and fine-tuning AI models using the Vertex.AI platform. The ideal candidate should have a strong background in natural language processing (NLP), machine learning, and software engineering. Your expertise in AI prompt engineering, coupled with proficiency in the Vertex.AI platform, will be essential in creating high-quality AI models to enhance the capabilities of client.",-1,IVID TEK INC,Remote,1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Senior Data Scientist,Employer Provided Salary:$141K - $254K,"POSITION: Senior Data Scientist

JOB Location: 208 S. Akard Street, Dallas, TX 75202 [and various unanticipated locations throughout the U.S.; may work from home]

Duties: AT&T Services, Inc. is looking for a Senior Data Scientist in Dallas, TX [and various unanticipated locations throughout the U.S.; may work from home] to be responsible for the automation of the resultant models designing and implementing processes and layouts for complex, large-scale data sets used for modeling, data mining, and research purposes, as well as the automation of the resultant models. Work closely with IT, Sales and Marketing organizations functional leads to formulate hypothetical insights and work through the lifecycle of delivering these insights to production. Design and build large and complex data sets, from spurious sources while thinking strategically about uses of data and how data use interacts with data design. Design and implement statistical data quality procedures around new data sources and the automation of the resultant models. Perform data studies and data discovery around new data sources or new uses for existing data sources. Implement software required for accessing and handling data appropriately. Implement and hand off data checking and updating procedures to teams. Perform statistical analyses with existing data sets in statistical packages. Visualize and report data findings creatively in a variety of visual formats that appropriately provides insights to the organization. Research and implement software and hardware related to mobile technology.",3.6,"AT&T
3.6","Dallas, TX",10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$85K,"Details
Department: Workforce Planning and Analytics
Schedule: Full Time, 8-hour day shift, Monday - Friday
Location: Remote

Benefits
Paid time off (PTO)
Various health insurance options & wellness plans
Retirement benefits including employer match plans
Long-term & short-term disability
Employee assistance programs (EAP)
Parental leave & adoption assistance
Tuition reimbursement
Ways to give back to your community",3.4,"Ascension
3.4",Remote,10000+ Employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
Data Scientist,$102K - $138K (Glassdoor est.),"Company Description

Visa is a world leader in digital payments, facilitating more than 215 billion payments transactions between consumers, merchants, financial institutions and government entities across more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable and secure payments network, enabling individuals, businesses and economies to thrive.
When you join Visa, you join a culture of purpose and belonging – where your growth is priority, your identity is embraced, and the work you do matters. We believe that economies that include everyone everywhere, uplift everyone everywhere. Your work will have a direct impact on billions of people around the world – helping unlock financial access to enable the future of money movement.",4.1,"Visa
4.1","Washington, DC",10000+ Employees,1958,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Scientist- CalAIM,Employer Provided Salary:$51.00 - $68.72 Per Hour,"Salary: $51.00 - $68.72 Per Hour
Community Programs is a program office within Health Services Administration, a division under the Los Angeles County Department of Health Services (DHS). Community Program’s mission is to improve the health and wellbeing of LA County’s people experiencing homelessness by providing housing and intensive care management services. In addition to other responsibilities this position may have a lead role in the tracking, reporting, quality assurance, and billing efforts for CalAIM, a Medi-Cal waiver program. They will be using their expertise to help lead a team of predictive analysts who will be providing data collection, analytic, and billing support for CalAIM services tracking and Medi-Cal billing while simultaneously building dashboards and providing regular descriptive analyses.",3.3,"Heluna Health
3.3","Los Angeles, CA",1001 to 5000 Employees,1968,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$25 to $100 million (USD)
